iter	RMSE
0	14.11458603
1	13.26945629
2	12.48038809
3	11.79775631
4	11.2518584
5	10.72047817
6	10.27262941
7	9.790480286
8	9.433017319
9	9.040884603
10	8.720641546
11	8.399445792
12	8.130128024
13	7.854666075
14	7.643808311
15	7.445488684
16	7.251507116
17	7.085375662
18	6.932465813
19	6.796585883
20	6.676525137
21	6.574531439
22	6.483516994
23	6.393087361
24	6.299451644
25	6.234046267
26	6.165669393
27	6.095760077
28	6.041708642
29	5.983858595
30	5.937562984
31	5.88973207
32	5.841804668
33	5.8107829
34	5.781265925
35	5.745259767
36	5.718903868
37	5.693318978
38	5.668337883
39	5.643039702
40	5.627099761
41	5.611688583
42	5.582085145
43	5.554857863
44	5.53988961
45	5.522073924
46	5.506387608
47	5.494484417
48	5.481413213
49	5.465207771
50	5.454264014
51	5.442585563
52	5.427709751
53	5.416755887
54	5.404291867
55	5.396128487
56	5.387320414
57	5.375694049
58	5.369250798
59	5.357639816
60	5.351042272
61	5.34505423
62	5.336246224
63	5.328080226
64	5.321967264
65	5.314957681
66	5.310456769
67	5.300745797
68	5.294397581
69	5.285112276
70	5.279955124
71	5.273608396
72	5.270849955
73	5.266553532
74	5.255497231
75	5.251135677
76	5.247469992
77	5.241005445
78	5.236033886
79	5.230787739
80	5.226913936
81	5.220694076
82	5.214615183
83	5.208044626
84	5.203272423
85	5.200119247
86	5.190495842
87	5.188372777
88	5.178866847
89	5.175529744
90	5.169627174
91	5.168740587
92	5.167608935
93	5.166443913
94	5.159514305
95	5.156862314
96	5.156505084
97	5.152172529
98	5.149685285
99	5.145257529
