iter	Passed	Remaining
0	0	976
1	1	792
2	2	724
3	2	709
4	3	708
5	4	714
6	5	717
7	5	726
8	6	717
9	7	721
10	8	726
11	8	716
12	9	714
13	10	711
14	10	712
15	11	713
16	12	714
17	13	714
18	13	716
19	14	719
20	15	713
21	15	711
22	16	707
23	17	706
24	18	720
25	19	722
26	19	718
27	20	715
28	21	713
29	21	707
30	22	706
31	23	703
32	23	700
33	24	701
34	25	702
35	26	698
36	26	695
37	27	689
38	27	687
39	28	687
40	29	687
41	30	686
42	30	687
43	31	688
44	32	689
45	33	688
46	33	686
47	34	688
48	35	690
49	36	692
50	37	691
51	37	688
52	38	687
53	39	687
54	39	686
55	40	684
56	41	683
57	42	684
58	42	684
59	43	683
60	44	682
61	44	680
62	45	679
63	46	679
64	47	677
65	47	675
66	48	673
67	49	673
68	49	670
69	50	669
70	51	667
71	51	666
72	52	665
73	53	665
74	53	659
75	54	658
76	54	656
77	55	654
78	56	654
79	56	654
80	57	653
81	58	651
82	58	650
83	59	649
84	60	650
85	61	649
86	61	648
87	62	647
88	63	647
89	64	647
90	64	646
91	65	644
92	65	643
93	66	642
94	67	642
95	68	640
96	68	639
97	69	638
98	70	639
99	71	640
100	71	639
101	72	638
102	72	635
103	73	634
104	74	635
105	74	632
106	75	631
107	76	631
108	77	630
109	77	628
110	78	626
111	78	625
112	79	624
113	80	623
114	80	623
115	81	621
116	82	621
117	83	620
118	83	620
119	84	621
120	85	619
121	86	619
122	86	618
123	87	618
124	88	618
125	89	617
126	89	616
127	90	615
128	91	614
129	91	614
130	92	614
131	93	612
132	93	612
133	94	611
134	95	611
135	96	611
136	96	610
137	97	609
138	98	609
139	99	608
140	99	608
141	100	607
142	101	607
143	102	607
144	102	606
145	103	605
146	104	604
147	104	604
148	105	603
149	106	603
150	107	602
151	107	601
152	108	601
153	109	600
154	110	600
155	110	598
156	111	597
157	111	596
158	112	596
159	113	596
160	114	596
161	115	595
162	115	594
163	116	594
164	117	593
165	117	592
166	118	591
167	119	590
168	119	589
169	120	589
170	121	588
171	122	587
172	122	587
173	123	586
174	124	586
175	125	585
176	125	584
177	126	584
178	127	583
179	127	582
180	128	581
181	129	581
182	130	580
183	130	579
184	131	579
185	132	578
186	132	577
187	133	576
188	134	575
189	134	575
190	135	574
191	136	573
192	137	573
193	137	573
194	138	572
195	139	571
196	140	570
197	140	570
198	141	569
199	142	569
200	143	568
201	143	567
202	144	567
203	145	566
204	145	566
205	146	565
206	147	563
207	148	563
208	148	563
209	149	562
210	150	561
211	150	560
212	151	559
213	152	558
214	152	557
215	153	556
216	154	555
217	154	555
218	155	554
219	156	554
220	156	553
221	157	552
222	158	551
223	159	551
224	159	550
225	160	549
226	160	548
227	161	547
228	162	547
229	163	546
230	163	545
231	164	545
232	165	544
233	166	544
234	166	543
235	167	542
236	168	541
237	168	540
238	169	539
239	170	538
240	170	538
241	171	537
242	172	536
243	172	535
244	173	535
245	174	534
246	174	533
247	175	532
248	176	532
249	177	531
250	177	530
251	178	529
252	179	528
253	179	528
254	180	527
255	181	526
256	181	525
257	182	524
258	183	524
259	183	523
260	184	522
261	185	521
262	185	521
263	186	520
264	187	519
265	188	518
266	188	518
267	189	517
268	190	516
269	190	515
270	191	514
271	192	514
272	192	513
273	193	512
274	194	511
275	194	511
276	195	510
277	196	509
278	196	508
279	197	507
280	198	507
281	198	506
282	199	505
283	200	505
284	201	504
285	201	504
286	202	503
287	203	502
288	203	501
289	204	501
290	205	500
291	205	499
292	206	498
293	207	497
294	208	497
295	208	496
296	209	495
297	209	494
298	210	493
299	211	493
300	211	492
301	212	491
302	213	490
303	214	489
304	214	489
305	215	488
306	216	487
307	216	486
308	217	485
309	217	485
310	218	484
311	219	483
312	220	482
313	220	482
314	221	481
315	222	480
316	222	480
317	223	479
318	224	478
319	224	477
320	225	477
321	226	476
322	226	475
323	227	474
324	228	474
325	229	473
326	229	472
327	230	472
328	231	471
329	231	470
330	232	469
331	233	469
332	233	468
333	234	467
334	235	466
335	235	466
336	236	465
337	237	464
338	237	463
339	238	462
340	239	462
341	240	462
342	240	461
343	241	460
344	242	459
345	242	459
346	243	458
347	244	457
348	244	456
349	245	455
350	246	455
351	246	454
352	247	453
353	248	453
354	249	452
355	249	451
356	250	451
357	251	450
358	251	449
359	252	448
360	253	448
361	253	447
362	254	446
363	255	445
364	255	445
365	256	444
366	257	443
367	257	442
368	258	441
369	259	441
370	259	440
371	260	439
372	260	438
373	261	437
374	262	437
375	262	436
376	263	435
377	264	434
378	264	433
379	265	433
380	266	432
381	267	432
382	267	431
383	268	430
384	269	430
385	270	429
386	270	428
387	271	428
388	272	427
389	272	426
390	273	426
391	274	425
392	275	425
393	275	424
394	276	423
395	277	422
396	277	421
397	278	421
398	279	420
399	279	419
400	280	419
401	281	418
402	282	418
403	282	417
404	283	416
405	284	415
406	284	415
407	285	414
408	286	413
409	286	412
410	287	412
411	288	411
412	289	410
413	289	410
414	290	409
415	291	408
416	291	408
417	292	407
418	293	406
419	294	406
420	294	405
421	295	405
422	296	404
423	297	403
424	297	402
425	298	402
426	299	401
427	299	400
428	300	400
429	301	399
430	301	398
431	302	397
432	303	397
433	304	396
434	304	395
435	305	395
436	306	394
437	306	393
438	307	393
439	308	392
440	308	391
441	309	390
442	310	390
443	310	389
444	311	388
445	312	387
446	312	386
447	313	386
448	314	385
449	314	384
450	315	383
451	316	383
452	316	382
453	317	381
454	318	381
455	318	380
456	319	379
457	320	379
458	320	378
459	321	377
460	322	376
461	322	376
462	323	375
463	324	374
464	325	373
465	325	373
466	326	372
467	327	372
468	327	371
469	328	370
470	329	369
471	330	369
472	330	368
473	331	367
474	331	366
475	332	366
476	333	365
477	334	364
478	334	364
479	335	363
480	336	362
481	336	361
482	337	361
483	338	360
484	338	359
485	339	359
486	340	358
487	341	357
488	341	357
489	342	356
490	342	355
491	343	354
492	344	354
493	345	353
494	345	352
495	346	351
496	347	351
497	347	350
498	348	349
499	349	349
500	349	348
501	350	347
502	351	347
503	352	346
504	352	345
505	353	344
506	353	344
507	354	343
508	355	342
509	356	342
510	356	341
511	357	340
512	358	340
513	359	339
514	359	338
515	360	338
516	361	337
517	362	336
518	362	336
519	363	335
520	364	334
521	364	334
522	365	333
523	366	332
524	367	332
525	367	331
526	368	330
527	369	329
528	369	329
529	370	328
530	371	327
531	371	327
532	372	326
533	373	325
534	373	324
535	374	324
536	375	323
537	376	322
538	376	322
539	377	321
540	378	320
541	378	320
542	379	319
543	380	318
544	380	318
545	381	317
546	382	316
547	383	316
548	384	315
549	384	314
